Price,Address,Floor,Bathroom,Bedroom,Land,Road,City,Face,Longitude,Latitude
28000000,Bansbari,3.0,4.0,2,1711.25,13.0,Kathmandu,South,85.342576,27.7458288
34000000,Basantapur,2.5,5.0,9,449.2,13.0,Kathmandu,West,85.306488,27.703978
32500000,Basundhara,3.0,3.0,8,1882.375,13.0,Kathmandu,West,85.3326175,27.7422381
55000000,Basundhara,3.0,4.0,5,2395.75,13.0,Kathmandu,West,85.3326175,27.7422381
42000000,Basundhara,3.0,5.0,6,1540.125,13.0,Kathmandu,West,85.3326175,27.7422381
21500000,Basundhara,3.0,3.0,6,1197.875,13.0,Kathmandu,West,85.3326175,27.7422381
20000000,Basundhara,3.0,2.0,5,1369.0,13.0,Kathmandu,West,85.3326175,27.7422381
31000000,Basundhara,3.0,4.0,6,1369.0,13.0,Kathmandu,West,85.3326175,27.7422381
37500000,Basundhara,3.0,3.0,5,1437.45,13.0,Kathmandu,West,85.3326175,27.7422381
42000000,Basundhara,3.0,5.0,6,1540.125,13.0,Kathmandu,West,85.3326175,27.7422381
65000000,Basundhara,3.0,5.0,7,3080.25,13.0,Kathmandu,West,85.3326175,27.7422381
42000000,Basundhara,2.5,5.0,5,1745.475,13.0,Kathmandu,West,85.3326175,27.7422381
45000000,Basundhara,3.0,5.0,6,2053.5,13.0,Kathmandu,West,85.3326175,27.7422381
43500000,Basundhara,3.0,3.0,6,1711.25,13.0,Kathmandu,West,85.3326175,27.7422381
41000000,Basundhara,2.5,4.0,5,1745.475,13.0,Kathmandu,West,85.3326175,27.7422381
35000000,Basundhara,3.0,3.0,5,1369.0,13.0,Kathmandu,West,85.3326175,27.7422381
45000000,Basundhara,2.5,4.0,4,1711.25,13.0,Kathmandu,West,85.3326175,27.7422381
33500000,Basundhara,3.0,4.0,5,1369.0,13.0,Kathmandu,West,85.3326175,27.7422381
25000000,Basundhara,3.0,3.0,5,855.625,13.0,Kathmandu,West,85.3326175,27.7422381
62500000,Basundhara,2.5,3.0,5,1711.25,13.0,Kathmandu,West,85.3326175,27.7422381
39500000,Basundhara,2.5,3.0,5,1711.25,13.0,Kathmandu,West,85.3326175,27.7422381
19500000,Basundhara,3.0,3.0,3,941.1875,12.0,Kathmandu,South East,85.3326175,27.7422381
22500000,Basundhara,3.0,5.0,5,1112.3125,14.0,Kathmandu,East,85.3326175,27.7422381
22500000,Basundhara,2.0,3.0,4,1112.3125,16.0,Kathmandu,East,85.3326175,27.7422381
23000000,Basundhara,2.0,3.0,4,1112.3125,15.0,Kathmandu,South,85.3326175,27.7422381
25000000,Basundhara,3.5,4.0,6,1369.0,13.0,Kathmandu,South East,85.3326175,27.7422381
25500000,Basundhara,3.0,4.0,7,1369.0,14.0,Kathmandu,East,85.3326175,27.7422381
29800000,Basundhara,3.0,5.0,5,1454.5625,16.0,Kathmandu,East,85.3326175,27.7422381
30000000,Basundhara,3.0,4.0,4,1369.0,10.0,Kathmandu,South,85.3326175,27.7422381
31000000,Basundhara,2.5,3.0,5,1711.25,13.0,Kathmandu,South West,85.3326175,27.7422381
32500000,Basundhara,2.5,3.0,6,1882.375,15.0,Kathmandu,South,85.3326175,27.7422381
35000000,Basundhara,2.0,1.0,2,2139.0625,12.0,Kathmandu,East,85.3326175,27.7422381
35000000,Basundhara,2.5,1.0,2,1882.375,13.0,Kathmandu,East,85.3326175,27.7422381
35000000,Basundhara,3.0,7.0,6,1711.25,15.0,Kathmandu,East,85.3326175,27.7422381
36000000,Basundhara,3.5,6.0,4,1796.8125,15.0,Kathmandu,South East,85.3326175,27.7422381
36500000,Basundhara,2.0,3.0,4,1711.25,15.0,Kathmandu,East,85.3326175,27.7422381
39000000,Basundhara,3.0,2.0,5,1711.25,14.0,Kathmandu,South,85.3326175,27.7422381
39900000,Basundhara,3.0,6.0,5,2395.75,14.0,Kathmandu,East,85.3326175,27.7422381
41000000,Basundhara,3.0,6.0,7,2395.75,20.0,Kathmandu,East,85.3326175,27.7422381
42000000,Basundhara,2.5,5.0,6,1437.45,16.0,Kathmandu,South East,85.3326175,27.7422381
45000000,Basundhara,3.0,6.0,6,2738.0,15.0,Kathmandu,South West,85.3326175,27.7422381
45000000,Basundhara,3.0,6.0,6,2738.0,20.0,Kathmandu,South West,85.3326175,27.7422381
49000000,Basundhara,3.0,6.0,6,1967.9375,14.0,Kathmandu,South,85.3326175,27.7422381
67000000,Basundhara,2.5,5.0,5,2481.31,13.0,Kathmandu,West,85.3326175,27.7422381
67000000,Basundhara,2.5,3.0,3,2429.975,13.0,Kathmandu,West,85.3326175,27.7422381
72500000,Basundhara,2.5,6.0,9,2395.75,13.0,Kathmandu,East,85.3326175,27.7422381
49500000,Basundhara,2.5,4.0,4,2395.75,13.0,Kathmandu,West,85.3326175,27.7422381
22500000,Basundhara,3.0,3.0,4,941.1875,13.0,Kathmandu,West,85.3326175,27.7422381
35500000,Basundhara,3.0,5.0,5,1369.0,13.0,Kathmandu,West,85.3326175,27.7422381
42500000,Basundhara,2.5,4.0,5,684.5,13.0,Kathmandu,West,85.3326175,27.7422381
32000000,Battisputali,3.0,3.0,5,1540.12,13.0,Kathmandu,West,85.3415089,27.7056762
50000000,Battisputali,2.5,3.0,5,1437.45,13.0,Kathmandu,West,85.3415089,27.7056762
60000000,Battisputali,2.5,3.0,5,2772.225,13.0,Kathmandu,West,85.3415089,27.7056762
87500000,Battisputali,2.5,4.0,6,2738.0,13.0,Kathmandu,West,85.3415089,27.7056762
85000000,Battisputali,3.0,4.0,5,2738.0,13.0,Kathmandu,West,85.3415089,27.7056762
33000000,Battisputali,3.5,1.0,6,1540.125,20.0,Kathmandu,West,85.3415089,27.7056762
43000000,Battisputali,3.0,6.0,6,1540.125,15.0,Kathmandu,South,85.3415089,27.7056762
25000000,Bauthali,2.5,5.0,6,1403.225,12.0,Kathmandu,West,85.2398359,27.6771335
27000000,Besigaun,2.5,3.0,6,1060.975,13.0,Kathmandu,South East,null,null
28500000,Besigaun,2.5,2.0,5,1540.125,12.0,Kathmandu,South,null,null
30000000,Besigaun,3.0,3.0,6,1369.0,12.0,Kathmandu,East,null,null
25000000,Bhaisepati,3.0,3.0,4,1026.75,13.0,Lalitpur,West,85.3060365,27.6561677
15500000,Bhaisepati,3.0,2.0,4,1437.45,13.0,Lalitpur,West,85.3060365,27.6561677
36000000,Bhaisepati,2.5,4.0,5,1711.25,13.0,Lalitpur,West,85.3060365,27.6561677
32500000,Bhaisepati,2.5,5.0,5,1240.65,13.0,Lalitpur,West,85.3060365,27.6561677
36000000,Bhaisepati,2.5,5.0,5,1369.0,13.0,Lalitpur,West,85.3060365,27.6561677
60000000,Bhaisepati,3.0,3.0,5,3422.5,13.0,Lalitpur,West,85.3060365,27.6561677
75000000,Bhaisepati,2.5,4.0,3,2053.5,13.0,Lalitpur,West,85.3060365,27.6561677
