title,district,Municipality,vdc,price,landsize,bedroom,bathroom,builtyear,parking,direction,url,price.1
"House For Sale At Bhainsepati, Lalitpur",Lalitpur,Bhainsepati,Near Mediciti Hospital,,11.125 aana,8,6,2060,3,Facing,https://epropertynepal.com/properties/712-house-for-sale-at-bhainsepati-lalitpur,62500000
"Bungalow For Sale At Kausaltar Chowk, Bhaktapur",Bhaktapur,Bhaktapur,Araniko Highway,,12.5 aana,4,5,2060,3,North,https://epropertynepal.com/properties/724-bungalow-for-sale-at-kausaltar-chowk-bhaktapur,65000000
"Full-Furnished Bungalow for Sale at Budhanilkantha, Kathmandu",Kathmandu,Budhanilkantha-4,Budhanilkantha,,11.0 aana,6,4,2079,3,South East,https://epropertynepal.com/properties/1537-full-furnished-bungalow-for-sale-at-budhanilkantha-kathmandu,85000000
"Apartment For Sale at Mero City Apartments Hattiban, Lalitpur",Lalitpur,Lalitpur,Hattiban,,605.0 Sq Ft,2,1,2079,2,South East,https://epropertynepal.com/properties/2957-apartment-for-sale-at-mero-city-apartments-hattiban-lalitpur,8000000
"3.5 Storey House for Sale at Balkumari, Lalitpur",Lalitpur,Balkumari,Kharibot,,2.5 aana,5,3,2070,2,North East,https://epropertynepal.com/properties/1016-3-5-storey-house-for-sale-at-balkumari-lalitpur,15000000
"House for Sale at New Buspark, Kathmandu",Kathmandu,Kathmandu,New Buspark,,3.0 aana,15,8,2075,2,South,https://epropertynepal.com/properties/346-house-for-sale-at-new-buspark-kathmandu,23000000
"2.5 Storey House for Sale At Tikathali, Lalitpur",Lalitpur,Mahalaxmi,Tikathali,,3.0 aana,7,3,2079,2,North West,https://epropertynepal.com/properties/2615-2-5-storey-house-for-sale-at-tikathali-lalitpur,24100000
"House for Sale at Swayambhu, Kathmandu",Kathmandu,Swayambhu,Pandhara Chowk,,4.1 aana,4,4,2079,2,North,https://epropertynepal.com/properties/1294-house-for-sale-at-swayambhu-kathmandu,24500000
"5.5 Storey Furnished House for Sale at New Buspark, KTM",Kathmandu,Kathmandu,New Buspark,,3.25 aana,23,15,2060,2,South,https://epropertynepal.com/properties/1015-5-5-storey-furnished-house-for-sale-at-new-buspark-ktm,36000000
"3.5 Storey House for Sale at Teku Bhotebahal, Kathmandu",Kathmandu,Kathmandu,"Bhotebahal,Teku",,1.6875 aana,8,3,2060,2,Facing,https://epropertynepal.com/properties/2627-3-5-storey-house-for-sale-at-teku-bhotebahal-kathmandu,36500000
"2.5 Storey House for Sale at Samakhusi, Kathmandu",Kathmandu,Kathmandu,Samakhusi,,10.0 aana,6,6,2079,2,South,https://epropertynepal.com/properties/3018-2-5-storey-house-for-sale-at-samakhusi-kathmandu,72500000
"House for sale in Boudha, Kathmandu",Kathmandu,Kathmandu,Boudha,,8.0 aana,6,4,2060,1,Facing,https://epropertynepal.com/properties/848-house-for-sale-in-boudha-kathmandu,100000000
