title,district,Municipality,vdc,landsize,Road,price,bedroom,bathroom,builtyear,parking,direction,url
House sale in maipi. Near new buspark | 9849164797,Kathmandu,Kathmandu,near New buspark,1437.45,20,32000000,8,5,2067,3+,East,https://www.gharghaderi.com/house/1672-House-sale-in-maipi.-Near-new-buspark/
"Beautiful house sale in Tokha, Panchetaar, Kathmandu | 9851241322",Kathmandu,Tokha,Panchetaar,1625.6875,20,32000000,5,4,2076,3-,East,https://www.gharghaderi.com/house/1771-Beautiful-house-sale-in-Tokha-Panchetaar-Kathmandu/
Kathmandu man road .way of white gumbha | 9803915560,Kathmandu,Kathmandu,5  AANA,1711.25,13,32000000,1,3,2072,3-,East,https://www.gharghaderi.com/house/2405-Kathmandu-man-road-.way-of-white-gumbha/
Dhapasi family units | 9840872228,Kathmandu,Tokha,Dhapasi,1711.25,13,32000000,6,5,2076,3-,East,https://www.gharghaderi.com/house/1428-Dhapasi-family-units/
Classic design house at Pasikot | 9840872228,Kathmandu,Budhanilkantha,Pasikot,1882.375,20,32000000,4,5,2076,3+,North,https://www.gharghaderi.com/house/1163-Classic-design-house-at-Pasikot/
Thankot House .Opposite to Tribhuwan Park. | 9801854440,Kathmandu,Chandragiri,Tribhuwan Park,2053.5,20,32000000,5,4,2074,3-,East,https://www.gharghaderi.com/house/1427-Thankot-House-.Opposite-to-Tribhuwan-Park./
New house for sale at Pasikot | 9851056076,Kathmandu,Budhanilkantha,Pasikot,2053.5,13,32000000,5,4,2075,3-,South east,https://www.gharghaderi.com/house/863-New-house-for-sale-at-Pasikot/
Land and House on Sale | 9849236539,Kathmandu,Gokarneshwor,Near BP Meusem,3080,32,32000000,1,2,2070,3-,South east,https://www.gharghaderi.com/house/2207-Land-and-House-on-Sale/
"Residential House On Sale at Kadaghari, Hanuman Mandir, Kathmandu | 9745300858",Kathmandu,Kathmandu,"Kadaghari, Hanuman Mandir",1197.875,13,32500000,6,1,2076,3+,East,https://www.gharghaderi.com/house/2767-Residential-House-On-Sale-at-Kadaghari-Hanuman-Mandir-Kathmandu/
House for sale at Golfutar | 9851184666,Kathmandu,Budhanilkantha,Golfutar,1369,16,32500000,5,4,2073,3-,East,https://www.gharghaderi.com/house/2155-House-for-sale-at-Golfutar/
New house for sale in Tinth AANA Kalanki | 9823502058,Kathmandu,Chandragiri,Tinth AANA,1500,16,32500000,8,4,2076,3-,East,https://www.gharghaderi.com/house/1580-New-house-for-sale-in-Tinth AANA-Kalanki/
New house for sale at Dhapasi 4 Tokha Kathmandu | 9810385879,Kathmandu,Tokha,Dhapasi,1711.25,13,32500000,5,5,2075,3-,City,https://www.gharghaderi.com/house/393-New-house-for-sale-at-Dhapasi-4-Tokha-Kathmandu/
Furnished new house for sale in Pasikot Budhanilkantha | 9818424657,Kathmandu,Budhanilkantha,Pasikot,1882.37,14,32500000,6,5,2075,3-,East,https://www.gharghaderi.com/house/712-Furnished-new-house-for-sale-in-Pasikot-Budhanilkantha/
Residential Semi bungalow on sale | 9749343923,Kathmandu,Budhanilkantha,Budhanilkantha,2139.0625,14,32900000,8,5,2075,3+,North east,https://www.gharghaderi.com/house/2189-Residential-Semi-bungalow-on-sale/
"bungalow sale in chandol,baluwatar near to the Tudal Devi temple | 9851207525",Kathmandu,Kathmandu,kathmandu ward 4 office,1437.45,12,33000000,3,4,2076,3-,North,https://www.gharghaderi.com/house/1902-bungalow-sale-in-chandol-baluwatar-near-to-the-Tudal-Devi-temple/
"Residential House On Sale at Rudr AANAgar Marg, Battisputali, Kathmandu | 9745300858",Kathmandu,Kathmandu,"Rudr AANAgar Marg, Battisputali",1540.125,20,33000000,6,1,2076,3-,West,https://www.gharghaderi.com/house/2807-Residential-House-On-Sale-at-Rudr AANAgar-Marg-Battisputali-Kathmandu/
Bungalow for sale in Hattigauda Budhanilkantha | 9851155216,Kathmandu,Budhanilkantha,Hattigauda,1882.37,13,33400000,5,5,2074,3-,South east,https://www.gharghaderi.com/house/765-Bungalow-for-sale-in-Hattigauda-Budhanilkantha/
Chandole sweet home on sale | 9840872228,Kathmandu,Kathmandu,Chandole,1369,16,33500000,4,4,2074,3-,East,https://www.gharghaderi.com/house/1202-Chandole-sweet-home-on-sale/
